,UMAP1,UMAP2,profileBIC,profileAIC
154,-8.073712,-9.124056,0,0
155,14.664488,-1.9895903,3,4
156,2.2252421,-1.938337,1,1
157,2.6560342,0.49926755,1,1
158,4.8181033,-14.007061,0,0
159,-2.298755,17.18627,2,5
160,-5.286433,-6.652477,0,0
161,-5.066742,6.100741,2,2
162,2.2463818,-1.9514463,1,1
163,3.3850236,-0.7768481,1,1
164,3.2607307,-0.825642,1,1
165,-10.935594,-0.6252621,2,2
166,2.1398318,-1.7779855,1,1
167,2.1109896,-1.8168547,1,1
168,1.5819087,-2.024709,1,1
169,-0.18027866,-11.506188,0,0
170,-10.040534,-0.12982993,2,2
171,-10.993332,-0.55569154,2,2
172,0.47239652,-0.22923766,1,1
173,-4.6896563,-6.4238987,0,0
174,-6.356238,3.7793417,2,2
175,0.29720476,-1.1517642,1,1
176,0.14588156,0.2562131,1,1
177,0.37759155,-0.9249127,1,1
178,1.1887022,1.2147949,1,1
179,-5.4847245,-6.8791814,0,0
180,1.811373,12.065963,2,5
181,1.1391771,1.2160417,1,1
182,-5.600493,-6.9737115,0,0
183,3.4178169,-1.637458,1,1
184,-13.775098,11.721409,2,2
185,-5.684646,12.976125,2,5
186,-6.6617084,-14.119881,0,0
187,24.587374,4.008011,3,3
188,24.595667,4.000449,3,3
189,-14.972386,-11.363484,0,0
190,-19.695734,-12.019055,2,0
191,-6.906057,19.043613,2,5
192,24.857794,3.4944797,3,3
193,-18.275879,15.365995,2,2
194,11.702129,-5.5324745,3,4
195,11.7008,-5.5279303,3,4
196,-13.776947,11.706481,2,2
197,-23.252073,-7.4392366,2,0
198,-6.713534,17.62107,2,5
199,-6.9935966,17.217001,2,5
200,11.698063,-5.5223155,3,4
201,16.996931,19.851381,3,3
202,10.852659,-18.37055,0,4
203,-14.972385,-11.363478,0,0
204,-5.7029986,12.994179,2,5
205,11.5035925,16.939747,3,3
206,24.855234,3.4954,3,3
207,3.262127,-9.167688,0,0
208,-0.17954636,-11.505622,0,0
209,-18.323418,15.413774,2,2
210,-5.6434827,19.981886,2,5
211,-6.903656,19.041122,2,5
212,-18.321589,15.411528,2,2
213,-26.745396,-0.24351607,2,2
214,24.856915,3.4942174,3,3
215,17.414623,-0.3051414,3,3
216,20.318365,-7.847074,3,3
217,7.1332846,20.576052,2,3
218,8.2984915,23.111507,2,3
219,-19.678377,-12.001824,2,0
220,-8.067115,-9.129494,0,0
221,24.845453,3.5106792,3,3
222,3.2815847,-9.150914,0,0
223,16.036156,18.061203,3,3
224,-14.709078,-0.75647616,2,2
225,14.605101,3.1774898,3,3
226,8.297984,23.110905,2,3
227,24.894068,3.460015,3,3
228,-7.051981,4.0701,2,2
229,-11.299584,0.90096515,2,2
230,-11.036207,-0.7136865,2,2
